First Name,Last Name,Full Name,Sex,Season,Age,Placement,Starting Tribe,Difficulty
Scout,Cloud Lee,Scout Cloud Lee,F,9,59,3,Yellow,E
Twila,Tanner,Twila Tanner,F,9,41,2,Yellow,E
Chris,Daugherty,Chris Daugherty,M,9,33,1,Red,E
Jonathan,Libby,Jonathan Libby,M,10,23,20,None,E
Wanda,Shirk,Wanda Shirk,F,10,55,19,None,E
Jolanda,Jones,Jolanda Jones,F,10,38,18,Blue,H
Ashlee,Ashby,Ashlee Ashby,F,10,22,17,Blue,H
Jeff,Wilson,Jeff Wilson,M,10,21,16,Blue,H
Kim,Mullen,Kim Mullen,F,10,25,15,Blue,H
Willard,Smith,Willard Smith,M,10,56,14,Brown,M
Angie,Jakusz,Angie Jakusz,F,10,24,13,Blue,M
James,Miller,James Miller,M,10,33,12,Blue,H
Ibrehem,Rahman,Ibrehem Rahman,M,10,27,11,Blue,M
Bobby,Jon Drinkard,Bobby Jon Drinkard,M,10,27,10,Blue,E
Coby,Archa,Coby Archa,M,10,32,9,Brown,M
Janu,Tornell,Janu Tornell,F,10,39,8,Brown,M
Stephenie,LaGrossa,Stephenie LaGrossa,F,10,24,7,Blue,E
Gregg,Carey,Gregg Carey,M,10,27,6,Brown,M
Caryn,Groedel,Caryn Groedel,F,10,46,5,Brown,M
Jenn,Lyon,Jenn Lyon,F,10,32,4,Brown,M
Ian,Rosenberger,Ian Rosenberger,M,10,23,3,Brown,E
Katie,Gallagher,Katie Gallagher,F,10,29,2,Brown,E
Tom,Westman,Tom Westman,M,10,40,1,Brown,E
Jim,Lynch,Jim Lynch,M,11,63,18,Yellow,H
Morgan,McDevitt,Morgan McDevitt,F,11,21,17,Blue,H
Brianna,Varela,Brianna Varela,F,11,21,16,Blue,H
Brooke,Struck,Brooke Struck,F,11,25,15,Yellow,H
Blake,Towsley,Blake Towsley,M,11,24,14,Yellow,H
Margaret,Bobonich,Margaret Bobonich,F,11,43,13,Yellow,H
Brian,Corridan,Brian Corridan,M,11,22,12,Blue,H
Amy,O'Hara,Amy O'Hara,F,11,39,11,Blue,H
Brandon,Bellinger,Brandon Bellinger,M,11,22,10,Yellow,H
Bobby,Jon Drinkard,Bobby Jon Drinkard,M,11,28,9,Yellow,E
Jamie,Newton,Jamie Newton,M,11,24,8,Blue,E
Gary,Hogeboom,Gary Hogeboom,M,11,46,7,Blue,E
Judd,Sergeant,Judd Sergeant,M,11,34,6,Yellow,E
Cindy,Hall,Cindy Hall,F,11,34,5,Yellow,M
Lydia,Morales,Lydia Morales,F,11,42,4,Blue,M
Rafe,Judkins,Rafe Judkins,M,11,22,3,Blue,E
Stephenie,LaGrossa,Stephenie LaGrossa,F,11,25,2,Blue,E
Danni,Boatwright,Danni Boatwright,F,11,30,1,Yellow,E
Tina,Scheer,Tina Scheer,F,12,44,16,Purple,H
Melinda,Hyder,Melinda Hyder,F,12,32,15,Purple,H
Misty,Giles,Misty Giles,F,12,24,14,Blue,H
Ruth-Marie,Milliman,Ruth-Marie Milliman,F,12,48,13,Purple,H
Bobby,Mason,Bobby Mason,M,12,32,12,Green,H
Dan,Barry,Dan Barry,M,12,51,11,Orange,H
Nick,Stanbury,Nick Stanbury,M,12,25,10,Green,H
Austin,Carty,Austin Carty,M,12,24,9,Green,H
Sally,Schumann,Sally Schumann,F,12,26,8,Blue,H
Bruce,Kanegai,Bruce Kanegai,M,12,57,7,Orange,H
Courtney,Marit,Courtney Marit,F,12,31,6,Blue,H
Shane,Powers,Shane Powers,M,12,35,5,Orange,E
Cirie,Fields,Cirie Fields,F,12,35,4,Purple,E
Terry,Deitz,Terry Deitz,M,12,46,3,Orange,E
Danielle,DiLorenzo,Danielle DiLorenzo,F,12,24,2,Blue,E
Aras,Baskauskas,Aras Baskauskas,M,12,24,1,Green,E
Sekou,Bunch,Sekou Bunch,M,13,45,20,Yellow,H
Billy,Garcia,Billy Garcia,M,13,36,19,Red,E
Cecilia,Mansilla,Cecilia Mansilla,F,13,29,18,Red,H
J.P.,Calderon,J.P. Calderon,M,13,30,17,Red,H
Stephannie,Favor,Stephannie Favor,F,13,35,16,Yellow,H
Cao,Boi Bui,Cao Boi Bui,M,13,42,15,Green,M
Cristina,Coria,Cristina Coria,F,13,35,14,Red,H
Jessica,Smith,Jessica Smith,F,13,27,13,Blue,H
Brad,Virata,Brad Virata,M,13,29,12,Green,H
Rebecca,Borman,Rebecca Borman,F,13,34,11,Yellow,H
Jenny,Guzon-Bae,Jenny Guzon-Bae,F,13,36,10,Green,H
Nate,Gonzalez,Nate Gonzalez,M,13,25,9,Yellow,H
Candice,Woodcock,Candice Woodcock,F,13,23,8,Blue,E
Jonathan,Penner,Jonathan Penner,M,13,44,7,Blue,E
Parvati,Shallow,Parvati Shallow,F,13,23,6,Blue,E
